time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.001162980264098,1.4209591014946454e-07,3.0189670496838517e-07,0.0,0.0,0.0,0.11629802640982445,-0.0005330964450833913,0.0007770414472738968,0.0,509.4912422936184,509.6578506003904,510.0362752603246,509.92206278549713
0.04,-6.567685612478329e-10,3.091260187045592e-10,10.003702415219255,2.5516371371381297e-06,2.2591073372879578e-05,0.0,-6.567685612478329e-08,3.091260187045592e-08,0.13764546910583922,0.004579920302117356,-0.002896743446287803,0.0,426.47662635589853,425.5343675366298,424.0423264297499,425.3577407962961
0.06,-5.075914625284429e-08,6.43802446414369e-09,10.006652975881044,0.00010028663063010868,6.28315018378051,0.0,-4.944560913034862e-06,5.819772426734571e-07,0.15741059707308494,0.00808322943797431,-0.002232821046378992,0.0,423.53031557589884,423.7016151383881,423.5520913672522,424.45477084847323
0.08,-6.384164302240153e-08,2.6308425370151604e-07,10.010282252098015,0.00027705101303965307,6.283144154063141,0.0,3.636311236079138e-06,2.508264568106378e-05,0.2055170246240489,0.002587814321785218,0.006556570691328046,0.0,449.6187675331365,451.74965549251715,451.50940990251115,450.1774908089351
0.1,1.1874472178094582e-07,1.5043375953243055e-06,10.015100138554375,0.00037013112735273523,9.045246376970795e-05,0.0,1.4622325244255597e-05,9.904268848121516e-05,0.27627162101199754,-0.006503261288662065,0.005582746898656838,0.0,471.2838000063319,471.0578686852717,472.30153344267484,470.19366815876407
0.12000000000000001,2.1616778447192088e-07,4.28322647694311e-06,10.020819658416668,0.00024014504430969197,0.00022805151702076643,0.0,-4.880018975158092e-06,0.0001788461996806653,0.29568036521731206,-0.0069011123411637995,0.012786095464144403,0.0,422.0570703386424,423.9176722434553,424.10053683550905,423.99812853367405
0.14,-5.213905340487738e-07,8.534045164667231e-06,10.027577464514206,0.00014112906923724466,0.0004993426154280556,0.0,-6.887581287691138e-05,0.00024623566909174683,0.3801002445364346,-0.015733583314872346,0.007205918204514451,0.0,484.04322653278996,482.7818520230226,483.90201182462516,481.9036881325713
0.16,-3.0625202375790448e-06,1.3787630088016698e-05,10.035547759742434,6.2830633711883195,0.0006462503374269346,0.0,-0.00018523715747611574,0.0002791228232432,0.41692927828639675,-0.025892973630581812,0.009567848732106065,0.0,440.6925593345785,441.2776619616541,440.98649207696934,438.4621844289532
0.18,-8.440958891592521e-06,1.905428941874427e-05,10.044514201173891,6.282545664586184,0.0008390647749445534,0.0,-0.0003526067079252319,0.00024754310982955715,0.47971486485943643,-0.025340035161333378,0.007860533368554034,0.0,464.0957823893265,463.6935256751194,464.53201059515874,464.661950538777
0.19999999999999998,-1.753709606070194e-05,2.244694993179145e-05,10.054582546512423,6.28215570281532,0.0009970130374217234,0.0,-0.0005570070089857102,9.172294147516083e-05,0.5271196689937233,-0.010053509567718617,0.009075107455656655,0.0,451.2994488403182,451.59329423906183,447.31156224467657,451.0299850629277
0.21999999999999997,-3.100171672025267e-05,2.1880942825675595e-05,10.06549438229661,6.28195470244631,0.0012375269834405955,0.0,-0.0007894550569693629,-0.00014832365208674637,0.5640639094250781,-0.009679818937328439,0.019938973885779462,0.0,439.576177168995,442.26819730790004,440.2139474837845,440.3068126506625
0.23999999999999996,-5.003841086263525e-05,1.5685043727009972e-05,10.077437917484671,6.281765019505169,0.0017002050859655782,0.0,-0.0011142143572688955,-0.0004712662577798158,0.6302896093809481,-0.012477474243597245,0.008634229323445283,0.0,470.0571049081102,467.4219069274187,466.4769902509799,465.8213584654497
0.25999999999999995,-7.691751202524208e-05,2.421387154184218e-06,10.090784210085456,6.281526554414739,0.0018970545699783514,0.0,-0.001573695758991787,-0.0008550993995027595,0.704339650697444,-0.0171858485791665,0.015586192721528194,0.0,473.167961324417,474.7704704894536,475.42307743584,474.3398740419437
0.27999999999999997,-0.00011339437096811202,-1.9055084093627064e-05,10.105546212752657,6.2811922432374185,0.0022271832037423778,0.0,-0.0020739901352952064,-0.0012925477252783688,0.7718606160227228,-0.012848615760354714,0.021653280875473063,0.0,468.4392760805267,469.85219562733965,467.8605160617955,468.87243687985017
0.3,-0.00016024783428931588,-4.9714814037238196e-05,10.121434176965733,6.280946782217413,0.0026692094025175805,0.0,-0.00261135619682518,-0.0017734252690827438,0.8169358052849219,-0.017646801917841702,0.017419941468942837,0.0,449.2075784727421,448.1766817652832,448.88481568959253,447.71546321652954
0.32,-0.00021974738800613922,-9.12823019458249e-05,10.138535442687312,6.280606706302034,0.003024689771857325,0.0,-0.003338599174857155,-0.002383323521775926,0.8931907668729793,-0.012575288735490265,0.021183328231060002,0.0,476.19106946314434,477.05372557235984,475.97837645297284,477.14126215829555
0.34,-0.00029443515428040823,-0.00014569708591559446,10.1570542968256,6.28035813300486,0.0034497155809942726,0.0,-0.004130177452569746,-0.003058154875201031,0.9586946469556501,-0.010153521803572024,0.022832112338222847,0.0,467.09781301569984,467.4833188704827,466.892200205911,467.4587464990829
0.36000000000000004,-0.00038536787462537105,-0.00021368622049441164,10.176680621250584,6.280157124269561,0.003918974585303658,0.0,-0.004963094581926536,-0.0037407585826806896,1.003937795542937,-0.012184137854228226,0.017808815105350165,0.0,449.466155230487,448.24334598989554,449.2951541172256,448.801171084062
